id,category,vec
118,4,"[ 30.   9.   8. ...,   0.   0.   0.]"
119,4,"[ 16.   4.   5. ...,   0.   0.   0.]"
120,5,"[ 15.   8.   6. ...,   0.   0.   0.]"
121,2,"[ 23.   6.   8. ...,   0.   0.   0.]"
122,2,"[ 6.  0.  2. ...,  0.  0.  0.]"
123,7,"[ 46.   4.   7. ...,   0.   0.   0.]"
124,6,"[ 29.  25.  24. ...,   0.   0.   0.]"
125,2,"[ 30.   8.  10. ...,   0.   0.   0.]"
126,10,"[ 42.  13.  11. ...,   0.   0.   0.]"
127,7,"[ 1.  0.  1. ...,  0.  0.  0.]"
128,4,"[ 23.   8.   4. ...,   0.   0.   0.]"
129,4,"[ 16.   8.   8. ...,   0.   0.   0.]"
130,1,"[ 35.  10.  11. ...,   0.   0.   0.]"
131,4,"[ 29.   3.   6. ...,   0.   0.   0.]"
132,6,"[ 35.  15.  14. ...,   0.   0.   0.]"
133,3,"[ 33.  12.  11. ...,   0.   0.   0.]"
134,3,"[ 69.  16.  25. ...,   0.   0.   0.]"
135,8,"[ 43.  13.   9. ...,   0.   0.   0.]"
136,2,"[ 0.  1.  0. ...,  0.  0.  0.]"
137,10,"[ 41.  13.  10. ...,   0.   0.   0.]"
138,9,"[ 28.   2.   5. ...,   0.   0.   0.]"
139,9,"[ 25.   4.   8. ...,   0.   0.   0.]"
140,10,"[ 47.  16.  18. ...,   0.   0.   0.]"
141,7,"[ 44.   8.   9. ...,   0.   0.   0.]"
142,5,"[ 29.  20.  12. ...,   0.   0.   0.]"
143,6,"[ 3.  3.  2. ...,  0.  0.  0.]"
144,2,"[ 27.  10.  11. ...,   0.   0.   0.]"
145,8,"[ 41.  38.  22. ...,   0.   0.   0.]"
146,3,"[ 50.  13.  14. ...,   0.   0.   0.]"
147,6,"[ 21.  15.   9. ...,   0.   0.   0.]"
148,7,"[ 23.  13.   9. ...,   0.   0.   0.]"
149,10,"[ 2.  2.  1. ...,  0.  0.  0.]"
150,3,"[ 56.  27.  15. ...,   0.   0.   0.]"
151,4,"[ 30.   5.   9. ...,   0.   0.   0.]"
152,5,"[ 14.   3.   6. ...,   0.   0.   0.]"
153,9,"[ 17.  12.   6. ...,   0.   0.   0.]"
154,10,"[ 26.  16.  10. ...,   0.   0.   0.]"
155,4,"[ 39.   6.   9. ...,   0.   0.   0.]"
156,3,"[ 40.   9.  11. ...,   0.   0.   0.]"
157,1,"[ 17.   8.   8. ...,   0.   0.   0.]"
158,5,"[ 43.  11.  12. ...,   0.   0.   0.]"
159,6,"[ 32.  17.  17. ...,   0.   0.   0.]"
160,8,"[ 27.  12.   9. ...,   0.   0.   0.]"
161,3,"[ 27.   6.   7. ...,   0.   0.   0.]"
162,4,"[ 22.   9.   8. ...,   0.   0.   0.]"
163,6,"[ 32.  18.  14. ...,   0.   0.   0.]"
164,8,"[ 40.  15.  11. ...,   0.   0.   0.]"
165,9,"[ 2.  2.  0. ...,  0.  0.  0.]"
166,8,"[ 27.  13.   6. ...,   0.   0.   0.]"
167,6,"[ 20.   8.  10. ...,   0.   0.   0.]"
168,2,"[ 33.   8.   9. ...,   0.   0.   0.]"
169,1,"[ 41.  10.  12. ...,   0.   0.   0.]"
170,6,"[ 44.  11.  13. ...,   0.   0.   0.]"
171,6,"[ 22.   9.  18. ...,   0.   0.   0.]"
172,8,"[ 34.   5.   7. ...,   0.   0.   0.]"
173,2,"[ 32.   6.   8. ...,   0.   0.   0.]"
174,8,"[ 32.  18.   9. ...,   0.   0.   0.]"
175,7,"[ 56.   1.  12. ...,   0.   0.   0.]"
176,10,"[ 4.  1.  0. ...,  0.  0.  0.]"
177,9,"[ 13.   1.   5. ...,   0.   0.   0.]"
178,2,"[ 24.   5.   8. ...,   0.   0.   0.]"
179,2,"[ 8.  1.  2. ...,  0.  0.  0.]"
180,1,"[ 7.  0.  2. ...,  0.  0.  0.]"
181,2,"[ 18.   2.   4. ...,   0.   0.   0.]"
182,2,"[ 33.  13.   5. ...,   0.   0.   0.]"
183,10,"[ 2.  1.  0. ...,  0.  0.  0.]"
184,1,"[ 14.   8.   4. ...,   0.   0.   0.]"
185,2,"[ 32.   5.   7. ...,   0.   0.   0.]"
186,6,"[ 57.  43.  26. ...,   0.   0.   0.]"
187,9,"[ 39.  35.  21. ...,   0.   0.   0.]"
188,6,"[ 24.  11.  13. ...,   0.   0.   0.]"
189,1,"[ 26.   7.   9. ...,   0.   0.   0.]"
190,4,"[ 42.   5.  13. ...,   0.   0.   0.]"
191,3,"[ 17.   9.   8. ...,   0.   0.   0.]"
192,5,"[ 46.  16.  11. ...,   0.   0.   0.]"
193,8,"[ 44.  22.  11. ...,   0.   0.   0.]"
194,8,"[ 2.  1.  1. ...,  0.  0.  0.]"
195,2,"[ 28.   7.   5. ...,   0.   0.   0.]"
196,7,"[ 26.   7.   9. ...,   0.   0.   0.]"
197,10,"[ 93.  32.  14. ...,   0.   0.   0.]"
198,5,"[ 20.  10.   8. ...,   0.   0.   0.]"
199,2,"[ 41.   7.  13. ...,   0.   0.   0.]"
200,5,"[ 18.  11.   5. ...,   0.   0.   0.]"
201,8,"[ 10.   3.   4. ...,   0.   0.   0.]"
202,4,"[ 23.   3.   5. ...,   0.   0.   0.]"
203,10,"[ 3.  2.  1. ...,  0.  0.  0.]"
204,4,"[ 27.   7.  10. ...,   0.   0.   0.]"
205,3,"[ 33.  18.   9. ...,   0.   0.   0.]"
206,10,"[ 2.  1.  2. ...,  0.  0.  0.]"
207,10,"[ 26.  10.   8. ...,   0.   0.   0.]"
208,5,"[ 19.  14.   7. ...,   0.   0.   0.]"
209,8,"[ 37.  14.  10. ...,   0.   0.   0.]"
210,7,"[ 39.   1.  11. ...,   0.   0.   0.]"
211,10,"[ 40.  37.  18. ...,   0.   0.   0.]"
212,7,"[ 27.   9.  13. ...,   0.   0.   0.]"
213,9,"[ 45.   6.  10. ...,   0.   0.   0.]"
214,4,"[ 28.   6.   6. ...,   0.   0.   0.]"
215,2,"[ 21.   8.   4. ...,   0.   0.   0.]"
216,9,"[ 42.   4.   8. ...,   0.   0.   0.]"
217,8,"[ 36.   7.   8. ...,   0.   0.   0.]"
218,10,"[ 10.   9.   3. ...,   0.   0.   0.]"
219,2,"[ 40.  12.   9. ...,   0.   0.   0.]"
220,10,"[ 2.  1.  0. ...,  0.  0.  0.]"
221,9,"[ 43.  22.  16. ...,   0.   0.   0.]"
222,9,"[ 56.  23.   8. ...,   0.   0.   0.]"
223,1,"[ 19.   5.  11. ...,   0.   0.   0.]"
224,7,"[ 23.   1.   9. ...,   0.   0.   0.]"
225,5,"[ 18.   2.   4. ...,   0.   0.   0.]"
226,10,"[ 10.   5.  23. ...,   0.   0.   0.]"
227,4,"[ 23.   5.  10. ...,   0.   0.   0.]"
228,9,"[ 91.  23.  31. ...,   0.   0.   0.]"
229,9,"[ 37.   9.   9. ...,   0.   0.   0.]"
230,10,"[ 111.   32.   32. ...,    0.    0.    0.]"
231,7,"[ 37.   9.  12. ...,   0.   0.   0.]"
232,7,"[ 31.  14.  11. ...,   0.   0.   0.]"
233,1,"[ 63.  53.  20. ...,   0.   0.   0.]"
234,3,"[ 25.   7.   5. ...,   0.   0.   0.]"
235,10,"[ 42.  19.  15. ...,   0.   0.   0.]"
236,8,"[ 47.  17.   9. ...,   0.   0.   0.]"
237,1,"[ 33.  12.  13. ...,   0.   0.   0.]"
238,2,"[ 24.  13.  13. ...,   0.   0.   0.]"
239,7,"[ 22.  19.   7. ...,   0.   0.   0.]"
240,4,"[ 29.  13.  10. ...,   0.   0.   0.]"
241,5,"[ 23.  16.   7. ...,   0.   0.   0.]"
242,2,"[ 33.  10.   9. ...,   0.   0.   0.]"
243,4,"[ 5.  3.  1. ...,  0.  0.  0.]"
244,4,"[ 14.   6.   4. ...,   0.   0.   0.]"
245,5,"[ 9.  2.  3. ...,  0.  0.  0.]"
246,8,"[ 104.   45.   37. ...,    0.    0.    0.]"
247,5,"[ 10.   2.  11. ...,   0.   0.   0.]"
248,2,"[ 19.   7.   9. ...,   0.   0.   0.]"
249,5,"[ 8.  2.  6. ...,  0.  0.  0.]"
250,10,"[ 4.  0.  1. ...,  0.  0.  0.]"
251,5,"[ 62.  35.  21. ...,   0.   0.   0.]"
252,9,"[ 52.  24.   6. ...,   0.   0.   0.]"
253,1,"[ 47.   5.  16. ...,   0.   0.   0.]"
254,7,"[ 29.   9.  12. ...,   0.   0.   0.]"
255,7,"[ 42.  14.  11. ...,   0.   0.   0.]"
256,5,"[ 42.  14.  18. ...,   0.   0.   0.]"
257,2,"[ 36.   6.  11. ...,   0.   0.   0.]"
258,9,"[ 32.  24.  24. ...,   0.   0.   0.]"
259,10,"[ 2.  1.  2. ...,  0.  0.  0.]"
260,1,"[ 18.   5.   8. ...,   0.   0.   0.]"
261,1,"[ 30.   7.  12. ...,   0.   0.   0.]"
262,10,"[ 29.  21.   4. ...,   0.   0.   0.]"
263,2,"[ 25.  15.  15. ...,   0.   0.   0.]"
264,8,"[ 21.  13.   3. ...,   0.   0.   0.]"
265,2,"[ 45.  30.   7. ...,   0.   0.   0.]"
266,1,"[ 23.  13.   8. ...,   0.   0.   0.]"
267,8,"[ 28.  20.  13. ...,   0.   0.   0.]"
268,5,"[ 11.   3.   5. ...,   0.   0.   0.]"
269,2,"[ 32.  21.   8. ...,   0.   0.   0.]"
270,7,"[ 54.   6.   8. ...,   0.   0.   0.]"
271,8,"[ 37.  13.  10. ...,   0.   0.   0.]"
272,2,"[ 34.   5.  13. ...,   0.   0.   0.]"
273,10,"[ 53.  18.  14. ...,   0.   0.   0.]"
274,7,"[ 22.  13.   9. ...,   0.   0.   0.]"
275,8,"[ 18.   2.   3. ...,   0.   0.   0.]"
276,7,"[ 29.   8.   8. ...,   0.   0.   0.]"
277,9,"[ 2.  0.  0. ...,  0.  0.  0.]"
278,5,"[ 22.   5.   7. ...,   0.   0.   0.]"
279,4,"[ 35.  16.  13. ...,   0.   0.   0.]"
280,5,"[ 31.  12.  18. ...,   0.   0.   0.]"
281,8,"[ 43.   4.   9. ...,   0.   0.   0.]"
282,4,"[ 49.  13.  16. ...,   0.   0.   0.]"
283,4,"[ 27.   8.   6. ...,   0.   0.   0.]"
284,4,"[ 16.   4.   8. ...,   0.   0.   0.]"
285,4,"[ 13.   1.   2. ...,   0.   0.   0.]"
286,9,"[ 38.  13.  13. ...,   0.   0.   0.]"
287,3,"[ 20.   2.   6. ...,   0.   0.   0.]"
288,9,"[ 45.  18.   8. ...,   0.   0.   0.]"
289,1,"[ 78.  53.  27. ...,   0.   0.   0.]"
290,1,"[ 29.  11.   9. ...,   0.   0.   0.]"
291,8,"[ 45.   1.   8. ...,   0.   0.   0.]"
292,6,"[ 20.  15.   8. ...,   0.   0.   0.]"
293,6,"[ 34.  19.  14. ...,   0.   0.   0.]"
294,7,"[ 38.   1.  11. ...,   0.   0.   0.]"
295,10,"[ 4.  5.  1. ...,  0.  0.  0.]"
296,4,"[ 10.   0.   3. ...,   0.   0.   0.]"
297,9,"[ 31.   3.   9. ...,   0.   0.   0.]"
298,6,"[ 21.  21.  17. ...,   0.   0.   0.]"
299,9,"[ 42.   9.  11. ...,   0.   0.   0.]"
300,4,"[ 28.  10.  11. ...,   0.   0.   0.]"
301,8,"[ 22.   8.   5. ...,   0.   0.   0.]"
302,7,"[ 14.   9.   9. ...,   0.   0.   0.]"
303,2,"[ 38.  10.   9. ...,   0.   0.   0.]"
304,4,"[ 26.  11.  12. ...,   0.   0.   0.]"
305,9,"[ 32.  14.   7. ...,   0.   0.   0.]"
306,8,"[ 5.  2.  3. ...,  0.  0.  0.]"
307,1,"[ 22.  14.   9. ...,   0.   0.   0.]"
308,1,"[ 6.  0.  1. ...,  0.  0.  0.]"
309,2,"[ 44.   2.   8. ...,   0.   0.   0.]"
310,6,"[ 10.   8.   7. ...,   0.   0.   0.]"
311,3,"[ 41.  16.  14. ...,   0.   0.   0.]"
312,4,"[ 55.   4.  10. ...,   0.   0.   0.]"
313,4,"[ 23.   2.   7. ...,   0.   0.   0.]"
314,7,"[ 32.   7.  11. ...,   0.   0.   0.]"
315,2,"[ 50.  13.   7. ...,   0.   0.   0.]"
316,2,"[ 42.  14.  12. ...,   0.   0.   0.]"
317,5,"[ 29.   9.  11. ...,   0.   0.   0.]"
318,5,"[ 33.  22.  14. ...,   0.   0.   0.]"
319,2,"[ 22.   5.   4. ...,   0.   0.   0.]"
320,8,"[ 35.   5.  10. ...,   0.   0.   0.]"
321,7,"[ 43.   2.  10. ...,   0.   0.   0.]"
322,8,"[ 24.  10.   7. ...,   0.   0.   0.]"
323,8,"[ 25.  16.   7. ...,   0.   0.   0.]"
324,6,"[ 9.  5.  5. ...,  0.  0.  0.]"
325,8,"[ 49.  14.  11. ...,   0.   0.   0.]"
326,10,"[ 4.  2.  0. ...,  0.  0.  0.]"
327,10,"[ 45.  11.   9. ...,   0.   0.   0.]"
328,9,"[ 30.  17.   6. ...,   0.   0.   0.]"
329,1,"[ 28.  20.  19. ...,   0.   0.   0.]"
330,9,"[ 30.  12.   7. ...,   0.   0.   0.]"
331,2,"[ 42.  13.  12. ...,   0.   0.   0.]"
332,2,"[ 23.   8.   7. ...,   0.   0.   0.]"
333,4,"[ 32.   4.   8. ...,   0.   0.   0.]"
334,8,"[ 38.  26.   9. ...,   0.   0.   0.]"
335,3,"[ 7.  2.  3. ...,  0.  0.  0.]"
336,3,"[ 19.  15.  11. ...,   0.   0.   0.]"
337,10,"[ 1.  0.  1. ...,  0.  0.  0.]"
338,1,"[ 1.  2.  2. ...,  0.  0.  0.]"
339,4,"[ 31.  19.  14. ...,   0.   0.   0.]"
340,5,"[ 26.  13.   8. ...,   0.   0.   0.]"
341,9,"[ 3.  1.  0. ...,  0.  0.  0.]"
342,7,"[ 28.   6.  17. ...,   0.   0.   0.]"
343,5,"[ 19.   2.   4. ...,   0.   0.   0.]"
344,5,"[ 33.  15.  14. ...,   0.   0.   0.]"
345,5,"[ 35.  17.  12. ...,   0.   0.   0.]"
346,5,"[ 6.  2.  4. ...,  0.  0.  0.]"
347,4,"[ 21.   1.   7. ...,   0.   0.   0.]"
348,3,"[ 4.  2.  1. ...,  0.  0.  0.]"
349,5,"[ 35.  12.  12. ...,   0.   0.   0.]"
350,1,"[ 34.   1.   8. ...,   0.   0.   0.]"
351,1,"[ 30.   7.  11. ...,   0.   0.   0.]"
352,4,"[ 29.   8.   9. ...,   0.   0.   0.]"
353,10,"[ 2.  1.  1. ...,  0.  0.  0.]"
354,5,"[ 6.  3.  2. ...,  0.  0.  0.]"
355,8,"[ 30.   7.   7. ...,   0.   0.   0.]"
356,8,"[ 18.   3.   4. ...,   0.   0.   0.]"
357,10,"[ 55.  14.  17. ...,   1.   0.   0.]"
358,4,"[ 25.   9.   5. ...,   0.   0.   0.]"
359,6,"[ 3.  4.  2. ...,  0.  0.  0.]"
360,1,"[ 32.   8.  14. ...,   0.   0.   0.]"
361,2,"[ 50.  14.  13. ...,   0.   0.   0.]"
362,1,"[ 22.  12.   5. ...,   0.   0.   0.]"
363,7,"[ 35.   8.  14. ...,   0.   0.   0.]"
364,6,"[ 25.  12.  11. ...,   0.   0.   0.]"
365,4,"[ 41.   9.  11. ...,   0.   0.   0.]"
366,9,"[ 23.   9.   5. ...,   0.   0.   0.]"
367,4,"[ 45.   8.  11. ...,   0.   0.   0.]"
368,2,"[ 9.  2.  2. ...,  0.  0.  0.]"
369,3,"[ 42.  25.   9. ...,   0.   0.   0.]"
370,5,"[ 24.  10.   5. ...,   0.   0.   0.]"
371,2,"[ 31.   5.  11. ...,   0.   0.   0.]"
372,4,"[ 29.   5.   6. ...,   0.   0.   0.]"
373,3,"[ 11.   0.   4. ...,   0.   0.   0.]"
374,4,"[ 32.   8.  14. ...,   0.   0.   0.]"
375,6,"[ 21.  11.  14. ...,   0.   0.   0.]"
376,8,"[ 20.  16.  10. ...,   0.   0.   0.]"
377,10,"[ 27.   8.   7. ...,   0.   0.   0.]"
378,5,"[ 27.  22.  14. ...,   0.   0.   0.]"
379,7,"[ 46.   3.  11. ...,   0.   0.   0.]"
380,7,"[ 44.   3.  16. ...,   0.   0.   0.]"
381,3,"[ 45.   7.  11. ...,   0.   0.   0.]"
382,8,"[ 32.  36.  30. ...,   0.   0.   0.]"
383,2,"[ 30.  21.  11. ...,   0.   0.   0.]"
384,8,"[ 6.  0.  2. ...,  0.  0.  0.]"
385,9,"[ 50.  24.  11. ...,   0.   0.   0.]"
386,9,"[ 39.  12.   3. ...,   0.   0.   0.]"
387,1,"[ 38.   5.  10. ...,   0.   0.   0.]"
388,8,"[ 40.  14.   9. ...,   0.   0.   0.]"
389,5,"[ 30.  16.  14. ...,   0.   0.   0.]"
390,5,"[ 17.   5.   5. ...,   0.   0.   0.]"
391,9,"[ 41.  10.  13. ...,   0.   0.   0.]"
392,8,"[ 58.  14.  14. ...,   0.   0.   0.]"
393,1,"[ 10.   8.   6. ...,   0.   0.   0.]"
394,10,"[ 3.  2.  1. ...,  0.  0.  0.]"
395,1,"[ 79.  35.  24. ...,   0.   0.   0.]"
396,9,"[ 34.  20.  14. ...,   0.   0.   0.]"
397,6,"[ 5.  1.  1. ...,  0.  0.  0.]"
398,8,"[ 46.  19.  14. ...,   0.   0.   0.]"
399,5,"[ 14.   4.   4. ...,   0.   0.   0.]"
400,3,"[ 18.   9.  10. ...,   0.   0.   0.]"
401,3,"[ 31.   4.   7. ...,   0.   0.   0.]"
402,9,"[ 64.  12.  14. ...,   0.   0.   0.]"
403,9,"[ 45.  16.  17. ...,   0.   0.   0.]"
404,8,"[ 27.   1.  11. ...,   0.   0.   0.]"
405,3,"[ 19.   9.  12. ...,   0.   0.   0.]"
406,4,"[ 24.   3.   6. ...,   0.   0.   0.]"
407,5,"[ 22.   8.   6. ...,   0.   0.   0.]"
408,1,"[ 29.   0.   6. ...,   0.   0.   0.]"
409,3,"[ 24.   3.   9. ...,   0.   0.   0.]"
410,9,"[ 18.   7.   8. ...,   0.   0.   0.]"
411,9,"[ 23.   9.   5. ...,   0.   0.   0.]"
412,2,"[ 28.   6.  10. ...,   0.   0.   0.]"
413,1,"[ 3.  1.  1. ...,  0.  0.  0.]"
414,1,"[ 29.  18.  10. ...,   0.   0.   0.]"
415,3,"[ 32.   9.   7. ...,   0.   0.   0.]"
416,10,"[ 86.  35.  24. ...,   0.   0.   0.]"
417,9,"[ 54.  29.  15. ...,   0.   0.   0.]"
418,2,"[ 12.   2.   6. ...,   0.   0.   0.]"
419,9,"[ 81.  32.  19. ...,   0.   0.   0.]"
420,5,"[ 21.  11.   8. ...,   0.   0.   0.]"
421,1,"[ 47.   6.   6. ...,   0.   0.   0.]"
422,3,"[ 31.   5.   3. ...,   0.   0.   0.]"
423,5,"[ 17.   6.   5. ...,   0.   0.   0.]"
424,1,"[ 47.  24.  13. ...,   0.   0.   0.]"
425,9,"[ 39.   8.   7. ...,   0.   0.   0.]"
426,9,"[ 55.  16.  13. ...,   0.   0.   0.]"
427,1,"[ 33.  12.   6. ...,   0.   0.   0.]"
428,5,"[ 14.   5.   9. ...,   0.   0.   0.]"
429,8,"[ 42.  14.   8. ...,   0.   0.   0.]"
430,3,"[ 38.  29.  14. ...,   0.   0.   0.]"
431,2,"[ 8.  1.  3. ...,  0.  0.  0.]"
432,8,"[ 37.   9.  18. ...,   0.   0.   0.]"
433,1,"[ 25.   1.  13. ...,   0.   0.   0.]"
434,2,"[ 26.  10.   7. ...,   0.   0.   0.]"
435,6,"[  9.  11.   9. ...,   0.   0.   0.]"
436,5,"[ 46.  23.  24. ...,   0.   0.   0.]"
437,6,"[ 24.   6.   7. ...,   0.   0.   0.]"
438,7,"[ 35.   7.   6. ...,   0.   0.   0.]"
439,2,"[ 36.  15.  11. ...,   0.   0.   0.]"
440,10,"[ 1.  3.  0. ...,  0.  0.  0.]"
441,10,"[ 5.  2.  2. ...,  0.  0.  0.]"
442,8,"[ 16.   5.   6. ...,   0.   0.   0.]"
443,3,"[ 28.   8.  10. ...,   0.   0.   0.]"
444,8,"[ 8.  5.  3. ...,  0.  0.  0.]"
445,5,"[ 10.   5.   4. ...,   0.   0.   0.]"
446,7,"[ 11.   2.   3. ...,   0.   0.   0.]"
447,7,"[ 26.   3.   5. ...,   0.   0.   0.]"
448,7,"[ 28.   7.   8. ...,   0.   0.   0.]"
449,5,"[ 33.  20.  15. ...,   0.   0.   0.]"
450,1,"[ 29.  14.   6. ...,   0.   0.   0.]"
451,7,"[ 33.  10.   9. ...,   0.   0.   0.]"
